case_id,case_type,difficulty,ai_correct
CASE008089,atypical,1.459,1
CASE008090,routine,-0.631,1
CASE008091,routine,-0.987,1
CASE008092,ambiguous,0.783,1
CASE008093,routine,-0.345,1
CASE008094,routine,-0.938,1
CASE008095,routine,-0.949,1
CASE008096,routine,-0.487,1
CASE008097,routine,-0.292,1
CASE008098,ambiguous,0.878,1
CASE008099,ambiguous,0.511,1
CASE008100,ambiguous,0.759,0
CASE008101,ambiguous,0.508,1
CASE008102,ambiguous,0.139,1
CASE008103,routine,-0.866,1
CASE008104,routine,-1.122,1
CASE008105,routine,-0.589,1
CASE008106,ambiguous,0.481,1
CASE008107,routine,0.075,1
CASE008108,routine,-0.482,1
CASE008109,ambiguous,1.1,1
CASE008110,routine,0.055,1
CASE008111,ambiguous,0.753,1
CASE008112,routine,-0.51,1
CASE008113,routine,-0.566,1
CASE008114,routine,-0.471,1
CASE008115,routine,0.342,1
CASE008116,routine,-0.536,1
CASE008117,routine,-0.731,1
CASE008118,routine,-0.595,1
CASE008119,routine,-0.53,1
CASE008120,routine,-0.224,1
CASE008121,routine,-0.478,1
CASE008122,ambiguous,-0.108,1
CASE008123,routine,-0.237,1
CASE008124,routine,-0.489,1
CASE008125,routine,-0.589,1
CASE008126,routine,0.381,1
CASE008127,routine,-0.821,1
CASE008128,ambiguous,0.432,1
CASE008129,routine,-0.018,1
CASE008130,routine,-0.713,1
CASE008131,routine,-0.523,1
CASE008132,routine,-0.485,1
CASE008133,routine,0.16,1
CASE008134,routine,-0.723,1
CASE008135,ambiguous,0.988,0
CASE008136,ambiguous,0.448,1
CASE008137,ambiguous,0.998,1
CASE008138,routine,-0.289,1
CASE008139,ambiguous,0.712,1
CASE008140,atypical,1.545,0
CASE008141,routine,-0.577,1
CASE008142,routine,0.099,1
CASE008143,routine,-0.274,1
CASE008144,ambiguous,1.009,1
CASE008145,routine,-1.062,1
CASE008146,ambiguous,0.883,1
CASE008147,routine,-0.703,1
CASE008148,routine,-0.676,1
CASE008149,ambiguous,1.03,1
CASE008150,routine,-0.431,1
CASE008151,routine,-0.284,1
CASE008152,ambiguous,0.806,1
CASE008153,ambiguous,0.461,1
CASE008154,routine,0.369,1
CASE008155,routine,-0.449,1
CASE008156,ambiguous,0.698,1
CASE008157,ambiguous,0.841,1
CASE008158,routine,-0.047,1
CASE008159,routine,-0.323,1
CASE008160,routine,-0.014,1
CASE008161,routine,-0.358,1
CASE008162,routine,-0.492,1
CASE008163,routine,-0.662,1
CASE008164,routine,-0.52,1
CASE008165,ambiguous,0.47,1
CASE008166,routine,-0.473,1
CASE008167,atypical,1.335,0
CASE008168,routine,-0.295,1
CASE008169,ambiguous,0.394,1
CASE008170,routine,0.169,1
CASE008171,routine,-0.331,1
CASE008172,routine,-0.329,1
CASE008173,routine,-0.653,1
CASE008174,routine,0.589,1
CASE008175,routine,-0.295,1
CASE008176,routine,-1.088,1
CASE008177,routine,-0.6,1
CASE008178,routine,0.219,1
CASE008179,routine,-0.218,1
CASE008180,routine,-0.879,1
CASE008181,routine,-0.48,1
CASE008182,routine,-0.476,1
CASE008183,routine,0.037,1
CASE008184,routine,-0.506,1
CASE008185,routine,0.132,1
CASE008186,routine,-1.271,1
CASE008187,routine,0.049,1
CASE008188,ambiguous,0.574,1
CASE008189,ambiguous,0.684,1
CASE008190,routine,-0.552,1
CASE008191,atypical,1.353,0
CASE008192,routine,-1.045,1
CASE008193,routine,-0.456,1
CASE008194,routine,-0.437,1
CASE008195,atypical,1.572,1
CASE008196,ambiguous,0.516,1
CASE008197,routine,-0.907,1
CASE008198,ambiguous,0.198,1
CASE008199,routine,-0.509,1
CASE008200,routine,0.461,1
CASE008201,routine,-0.481,1
CASE008202,routine,-0.986,1
CASE008203,routine,-0.741,1
CASE008204,atypical,1.004,0
CASE008205,routine,-0.514,1
CASE008206,ambiguous,0.255,0
CASE008207,ambiguous,0.786,1
CASE008208,routine,-0.397,1
CASE008209,routine,-0.639,1
CASE008210,routine,-0.157,1
CASE008211,routine,-0.099,1
CASE008212,routine,-0.091,1
CASE008213,ambiguous,0.421,1
CASE008214,routine,-0.709,1
CASE008215,ambiguous,0.952,1
CASE008216,routine,0.03,1
CASE008217,atypical,1.635,1
CASE008218,routine,-0.672,1
CASE008219,routine,-0.003,1
CASE008220,routine,-0.481,1
CASE008221,ambiguous,0.369,0
CASE008222,ambiguous,0.1,1
CASE008223,routine,0.172,1
CASE008224,routine,-0.612,1
CASE008225,routine,-0.443,1
CASE008226,routine,-0.97,1
CASE008227,ambiguous,0.539,1
CASE008228,routine,-0.154,0
CASE008229,routine,-0.274,1
CASE008230,routine,-0.497,1
CASE008231,routine,-0.856,1
CASE008232,ambiguous,0.595,1
CASE008233,routine,-0.59,1
CASE008234,routine,0.139,1
CASE008235,routine,-0.433,1
CASE008236,routine,-0.111,1
CASE008237,routine,-0.44,1
CASE008238,routine,-0.617,1
CASE008239,routine,-0.189,1
CASE008240,ambiguous,0.806,0
CASE008241,routine,-0.739,1
CASE008242,ambiguous,0.145,1
CASE008243,routine,0.073,1
CASE008244,routine,-0.395,1
CASE008245,routine,-0.378,1
CASE008246,routine,-0.655,1
CASE008247,routine,-0.048,1
CASE008248,routine,-0.398,1
CASE008249,routine,-0.617,1
CASE008250,routine,-0.419,1
CASE008251,ambiguous,0.361,1
CASE008252,routine,-0.826,1
CASE008253,routine,-0.463,1
CASE008254,routine,-0.031,1
CASE008255,routine,-0.275,1
CASE008256,ambiguous,-0.113,0
CASE008257,routine,-0.522,1
CASE008258,ambiguous,0.66,1
CASE008259,routine,-0.672,1
CASE008260,routine,-0.462,1
CASE008261,routine,-0.363,1
CASE008262,routine,-0.62,1
CASE008263,atypical,0.875,1
CASE008264,routine,-0.356,1
CASE008265,routine,-0.383,1
CASE008266,routine,-1.128,1
CASE008267,ambiguous,0.646,1
CASE008268,routine,-0.999,1
CASE008269,routine,0.106,1
CASE008270,routine,-0.373,1
CASE008271,routine,-0.257,1
CASE008272,ambiguous,0.813,1
CASE008273,routine,-0.285,1
CASE008274,ambiguous,0.664,1
CASE008275,atypical,1.089,1
CASE008276,routine,-0.35,1
CASE008277,ambiguous,0.934,1
CASE008278,routine,-1.105,1
CASE008279,routine,-0.419,1
CASE008280,routine,-0.443,1
CASE008281,routine,-0.024,1
CASE008282,routine,-0.569,1
CASE008283,ambiguous,0.498,1
CASE008284,routine,-0.318,1
CASE008285,routine,-0.865,1
CASE008286,routine,-0.341,1
CASE008287,routine,0.376,1
CASE008288,routine,-0.606,1
CASE008289,routine,-0.678,1
CASE008290,routine,-0.606,1
CASE008291,ambiguous,0.788,1
CASE008292,ambiguous,0.489,0
CASE008293,routine,-0.74,1
CASE008294,routine,-0.381,1
CASE008295,routine,-0.378,1
CASE008296,routine,-0.826,1
CASE008297,routine,-0.434,1
CASE008298,ambiguous,0.623,1
CASE008299,routine,-0.481,1
CASE008300,ambiguous,0.386,1
CASE008301,ambiguous,0.91,1
CASE008302,routine,-1.078,1
CASE008303,routine,-0.445,1
CASE008304,routine,-0.568,1
CASE008305,routine,-0.259,1
CASE008306,routine,-0.401,1
CASE008307,routine,-0.186,1
CASE008308,routine,-0.709,1
CASE008309,routine,-0.246,1
CASE008310,routine,-0.588,1
CASE008311,routine,-0.565,1
CASE008312,routine,0.195,1
CASE008313,ambiguous,0.162,1
CASE008314,routine,-0.517,1
CASE008315,ambiguous,0.763,1
CASE008316,routine,-0.395,1
CASE008317,routine,-0.226,1
CASE008318,routine,-0.149,1
CASE008319,routine,-0.303,1
CASE008320,routine,-0.87,1
CASE008321,atypical,1.571,1
CASE008322,routine,-0.755,1
CASE008323,ambiguous,0.592,1
CASE008324,routine,-1.085,1
CASE008325,routine,-0.125,1
CASE008326,routine,-0.121,1
CASE008327,ambiguous,1.134,0
CASE008328,routine,0.096,1
CASE008329,routine,-0.187,1
CASE008330,routine,-0.397,1
CASE008331,routine,-0.368,1
CASE008332,routine,-0.27,1
CASE008333,routine,-0.037,1
CASE008334,routine,-0.442,1
CASE008335,routine,-0.491,1
CASE008336,ambiguous,0.538,0
CASE008337,atypical,1.183,1
CASE008338,atypical,1.418,0
CASE008339,routine,-0.137,1
CASE008340,routine,-0.187,1
CASE008341,routine,-0.352,1
CASE008342,atypical,1.29,0
CASE008343,routine,-0.847,1
CASE008344,routine,-0.203,1
CASE008345,ambiguous,0.732,1
CASE008346,ambiguous,0.108,1
CASE008347,ambiguous,1.224,1
CASE008348,routine,-0.553,1
CASE008349,routine,-0.167,1
CASE008350,routine,-0.6,1
CASE008351,routine,-0.132,1
CASE008352,ambiguous,1.493,0
CASE008353,atypical,1.255,0
CASE008354,routine,-0.56,1
CASE008355,routine,-1.007,1
CASE008356,routine,-0.751,1
CASE008357,atypical,0.89,0
CASE008358,routine,-1.167,1
CASE008359,routine,-0.576,0
CASE008360,atypical,1.839,1
CASE008361,atypical,1.708,0
CASE008362,routine,0.005,1
CASE008363,routine,-0.712,1
CASE008364,ambiguous,0.399,1
CASE008365,routine,-0.06,1
CASE008366,routine,-0.547,1
CASE008367,routine,-0.602,1
CASE008368,routine,-0.702,1
CASE008369,ambiguous,0.424,1
CASE008370,routine,0.133,1
CASE008371,routine,-0.399,1
CASE008372,routine,-0.01,1
CASE008373,routine,-0.881,1
CASE008374,ambiguous,0.777,1
CASE008375,ambiguous,0.301,1
CASE008376,routine,-0.177,1
CASE008377,routine,-0.033,1
CASE008378,routine,0.094,1
CASE008379,ambiguous,0.668,1
CASE008380,routine,-0.426,1
CASE008381,atypical,1.471,1
CASE008382,routine,-1.216,1
CASE008383,ambiguous,1.081,1
CASE008384,atypical,1.388,0
CASE008385,atypical,0.869,1
CASE008386,routine,-0.446,1
CASE008387,ambiguous,0.639,1
CASE008388,routine,0.057,1
CASE008389,routine,-0.495,1
CASE008390,routine,-0.896,1
CASE008391,routine,-0.79,1
CASE008392,routine,-0.14,0
CASE008393,routine,0.263,1
CASE008394,ambiguous,0.075,1
CASE008395,routine,-0.699,1
CASE008396,atypical,1.31,0
CASE008397,routine,-0.454,1
CASE008398,routine,-0.336,1
CASE008399,routine,-0.456,1
CASE008400,routine,-0.658,1
CASE008401,routine,-0.725,1
CASE008402,ambiguous,0.031,1
CASE008403,routine,-0.386,1
CASE008404,routine,-0.025,1
CASE008405,ambiguous,0.685,1
CASE008406,ambiguous,0.6,1
CASE008407,routine,0.464,1
CASE008408,routine,-0.509,1
CASE008409,routine,-0.566,1
CASE008410,ambiguous,0.75,1
CASE008411,ambiguous,0.912,1
CASE008412,routine,-0.935,1
CASE008413,routine,-0.434,1
CASE008414,routine,-0.518,1
CASE008415,routine,-0.027,1
CASE008416,ambiguous,0.389,1
CASE008417,routine,-0.358,1
CASE008418,routine,-0.664,1
CASE008419,routine,-0.577,1
CASE008420,routine,-0.7,1
CASE008421,routine,-0.471,1
CASE008422,atypical,1.144,1
CASE008423,routine,-0.751,1
CASE008424,routine,-0.973,1
CASE008425,ambiguous,1.289,0
CASE008426,ambiguous,0.832,1
CASE008427,routine,-0.442,1
CASE008428,routine,-0.32,1
CASE008429,atypical,0.643,0
CASE008430,atypical,1.275,1
CASE008431,routine,-0.373,1
CASE008432,routine,0.205,1
CASE008433,ambiguous,0.055,1
CASE008434,ambiguous,0.741,1
CASE008435,routine,-0.866,1
CASE008436,routine,-0.816,1
CASE008437,routine,-0.637,1
CASE008438,routine,-0.164,0
CASE008439,ambiguous,0.59,1
CASE008440,routine,-0.375,1
CASE008441,routine,-0.719,1
CASE008442,routine,-0.241,1
CASE008443,ambiguous,0.402,1
CASE008444,routine,-0.231,1
CASE008445,routine,-0.296,1
CASE008446,ambiguous,0.736,1
CASE008447,routine,-0.187,1
CASE008448,routine,-0.404,1
CASE008449,ambiguous,0.384,1
CASE008450,ambiguous,0.415,1
CASE008451,routine,-0.058,1
CASE008452,routine,-0.428,1
CASE008453,routine,-1.0,1
CASE008454,routine,0.173,1
CASE008455,routine,0.546,1
CASE008456,routine,-0.336,1
CASE008457,routine,-0.795,1
CASE008458,ambiguous,0.506,1
CASE008459,routine,-0.54,1
CASE008460,routine,-0.561,1
CASE008461,ambiguous,0.611,1
CASE008462,routine,-0.41,1
CASE008463,routine,-0.206,1
CASE008464,routine,-0.475,1
CASE008465,routine,-0.768,1
CASE008466,routine,-1.097,1
CASE008467,routine,-0.977,1
CASE008468,routine,-0.224,1
CASE008469,routine,-0.163,1
CASE008470,routine,-0.411,1
CASE008471,routine,-0.601,1
CASE008472,routine,-0.66,1
CASE008473,ambiguous,0.557,1
CASE008474,ambiguous,0.675,1
CASE008475,routine,-0.369,1
CASE008476,atypical,1.066,0
CASE008477,routine,-0.418,1
CASE008478,routine,-0.457,1
CASE008479,ambiguous,1.139,1
CASE008480,routine,-0.614,1
CASE008481,ambiguous,0.167,1
CASE008482,routine,-0.142,1
CASE008483,routine,-0.768,1
CASE008484,routine,-0.709,1
CASE008485,routine,-0.481,1
CASE008486,routine,-1.107,1
CASE008487,routine,-0.467,1
CASE008488,routine,-0.628,1
CASE008489,routine,-0.337,1
CASE008490,ambiguous,0.347,1
CASE008491,ambiguous,0.763,1
CASE008492,routine,-0.635,1
CASE008493,routine,-0.172,1
CASE008494,routine,0.067,1
CASE008495,ambiguous,-0.111,0
CASE008496,routine,-0.431,1
CASE008497,ambiguous,0.772,1
CASE008498,ambiguous,0.831,1
CASE008499,routine,-0.496,1
CASE008500,routine,0.127,1
CASE008501,atypical,0.591,1
CASE008502,routine,-0.414,1
CASE008503,routine,0.133,1
CASE008504,routine,-0.702,1
CASE008505,routine,-0.948,1
CASE008506,atypical,1.207,1
CASE008507,routine,-0.702,1
CASE008508,atypical,1.369,1
CASE008509,routine,-0.465,1
CASE008510,routine,0.186,1
CASE008511,routine,-0.261,1
CASE008512,routine,-1.029,1
CASE008513,routine,-0.469,1
CASE008514,ambiguous,0.974,1
CASE008515,routine,-0.548,1
CASE008516,routine,-0.399,1
CASE008517,routine,-0.99,1
CASE008518,atypical,1.083,1
CASE008519,routine,-0.621,1
CASE008520,routine,-0.316,1
CASE008521,routine,-0.013,1
CASE008522,routine,-0.013,1
CASE008523,routine,0.145,1
CASE008524,routine,0.144,1
CASE008525,routine,-0.332,1
CASE008526,ambiguous,0.187,0
CASE008527,routine,-0.097,1
CASE008528,routine,-0.773,1
CASE008529,routine,-0.174,1
CASE008530,routine,-0.634,1
CASE008531,routine,-0.715,1
CASE008532,ambiguous,0.822,1
CASE008533,ambiguous,0.029,1
CASE008534,routine,-0.487,1
CASE008535,ambiguous,0.387,1
CASE008536,routine,-1.065,1
CASE008537,ambiguous,0.106,0
CASE008538,routine,-0.526,1
CASE008539,routine,-0.132,1
CASE008540,routine,-0.306,1
CASE008541,ambiguous,0.487,0
CASE008542,atypical,1.382,0
CASE008543,routine,-0.087,1
CASE008544,routine,-0.855,0
CASE008545,routine,-0.704,1
CASE008546,routine,-0.363,1
CASE008547,ambiguous,0.381,1
CASE008548,routine,0.13,1
CASE008549,routine,-0.347,1
CASE008550,routine,-0.095,1
CASE008551,routine,-0.864,1
CASE008552,routine,-0.484,1
CASE008553,ambiguous,0.726,1
CASE008554,ambiguous,0.773,1
CASE008555,ambiguous,0.763,1
CASE008556,routine,-0.574,1
CASE008557,routine,-0.208,1
CASE008558,routine,-0.261,1
CASE008559,routine,-1.009,1
CASE008560,routine,-0.284,1
CASE008561,routine,-0.334,1
CASE008562,ambiguous,0.523,0
CASE008563,routine,-0.392,0
CASE008564,routine,-0.504,1
CASE008565,ambiguous,0.342,1
CASE008566,routine,-0.061,1
CASE008567,routine,-0.513,1
CASE008568,routine,-0.411,1
CASE008569,routine,-0.592,1
CASE008570,routine,0.203,1
CASE008571,routine,-0.266,1
CASE008572,routine,0.204,1
CASE008573,routine,-1.045,1
CASE008574,routine,-0.348,1
CASE008575,routine,-0.416,1
CASE008576,routine,-0.764,1
CASE008577,routine,-0.617,1
CASE008578,routine,-0.325,1
CASE008579,atypical,1.352,1
CASE008580,routine,-0.514,1
CASE008581,atypical,1.382,1
CASE008582,atypical,0.916,1
CASE008583,routine,-0.498,1
CASE008584,atypical,1.197,0
CASE008585,routine,-1.236,1
CASE008586,ambiguous,0.7,1
CASE008587,routine,-0.108,1
CASE008588,ambiguous,0.801,1
CASE008589,routine,-0.516,1
CASE008590,atypical,1.089,1
CASE008591,routine,-0.064,1
CASE008592,routine,-0.443,1
CASE008593,routine,-0.426,1
CASE008594,atypical,1.371,0
CASE008595,routine,-0.683,1
CASE008596,routine,-0.69,1
CASE008597,routine,-0.913,1
CASE008598,ambiguous,0.726,1
CASE008599,atypical,1.664,0
CASE008600,routine,-0.524,1
CASE008601,routine,-0.437,0
CASE008602,routine,-0.539,1
CASE008603,ambiguous,0.654,1
CASE008604,routine,-0.529,1
CASE008605,routine,-0.253,1
CASE008606,routine,-0.192,1
CASE008607,routine,0.11,1
CASE008608,routine,-0.293,1
CASE008609,routine,-0.122,1
CASE008610,routine,-0.491,1
CASE008611,ambiguous,0.698,1
CASE008612,routine,-0.211,1
CASE008613,atypical,1.025,1
CASE008614,atypical,1.333,1
CASE008615,routine,0.05,1
CASE008616,ambiguous,0.901,1
CASE008617,routine,-0.416,1
CASE008618,routine,-0.365,1
CASE008619,ambiguous,0.263,1
CASE008620,routine,-0.518,1
CASE008621,ambiguous,0.581,1
CASE008622,routine,0.027,1
CASE008623,ambiguous,0.671,1
CASE008624,routine,-0.926,1
CASE008625,routine,-0.437,1
CASE008626,routine,-0.994,1
CASE008627,ambiguous,-0.12,1
CASE008628,routine,-0.378,0
CASE008629,routine,-0.325,1
CASE008630,routine,-0.828,1
CASE008631,routine,0.013,1
CASE008632,routine,-0.528,1
CASE008633,ambiguous,1.208,1
CASE008634,routine,-0.433,1
CASE008635,routine,0.451,1
CASE008636,routine,-0.576,1
CASE008637,ambiguous,0.645,0
CASE008638,routine,-0.125,1
CASE008639,routine,-0.737,1
CASE008640,ambiguous,0.319,1
CASE008641,ambiguous,0.579,1
CASE008642,routine,-0.656,1
CASE008643,routine,0.034,1
CASE008644,ambiguous,0.575,1
CASE008645,routine,0.112,1
CASE008646,routine,-0.474,1
CASE008647,ambiguous,0.516,1
CASE008648,routine,-1.164,0
CASE008649,routine,-0.446,1
CASE008650,routine,-0.498,0
CASE008651,ambiguous,0.54,1
CASE008652,atypical,1.371,1
CASE008653,routine,-0.195,1
CASE008654,routine,-0.102,1
CASE008655,routine,-0.688,1
CASE008656,routine,-0.211,1
CASE008657,routine,0.152,1
CASE008658,routine,-0.732,1
CASE008659,atypical,1.61,1
CASE008660,ambiguous,0.724,1
CASE008661,routine,-0.456,1
CASE008662,routine,0.18,1
CASE008663,routine,0.138,1
CASE008664,routine,-0.678,1
CASE008665,routine,-0.182,1
CASE008666,routine,-0.487,1
CASE008667,routine,-0.005,1
CASE008668,routine,-0.345,1
CASE008669,routine,-0.186,1
CASE008670,routine,-0.217,1
CASE008671,routine,-0.573,1
CASE008672,routine,-0.295,1
CASE008673,routine,-0.62,1
CASE008674,routine,-0.275,1
CASE008675,ambiguous,0.999,1
CASE008676,routine,-0.336,1
CASE008677,routine,-0.635,1
CASE008678,routine,-1.275,1
CASE008679,routine,-0.145,1
CASE008680,ambiguous,0.748,1
CASE008681,routine,-0.527,0
CASE008682,routine,0.016,1
CASE008683,routine,-0.959,1
CASE008684,routine,-0.573,1
CASE008685,routine,-0.466,1
CASE008686,routine,-0.191,1
CASE008687,routine,-0.939,1
CASE008688,routine,-0.739,1
CASE008689,routine,-0.113,1
CASE008690,routine,-0.611,1
CASE008691,ambiguous,0.621,1
CASE008692,routine,0.356,1
CASE008693,routine,-0.74,1
CASE008694,ambiguous,0.759,1
CASE008695,ambiguous,0.59,1
CASE008696,ambiguous,0.582,0
CASE008697,routine,0.212,1
CASE008698,routine,0.294,1
CASE008699,routine,-0.233,1
CASE008700,atypical,0.864,1
CASE008701,routine,-0.16,1
CASE008702,routine,-0.255,1
CASE008703,routine,-1.264,1
CASE008704,routine,0.292,1
CASE008705,routine,-0.075,1
CASE008706,routine,-0.628,1
CASE008707,routine,-0.036,1
CASE008708,routine,0.04,1
CASE008709,ambiguous,-0.269,0
CASE008710,routine,-0.148,1
CASE008711,routine,-0.35,1
CASE008712,routine,-0.838,1
CASE008713,routine,0.602,1
CASE008714,ambiguous,0.47,1
CASE008715,routine,-0.86,1
CASE008716,routine,-0.424,1
CASE008717,routine,-0.603,1
CASE008718,routine,-0.976,1
CASE008719,ambiguous,0.569,1
CASE008720,routine,-0.365,1
CASE008721,routine,-0.243,1
CASE008722,routine,-0.45,1
CASE008723,routine,-0.443,1
CASE008724,ambiguous,0.241,1
CASE008725,routine,-0.713,1
CASE008726,routine,-0.456,1
CASE008727,routine,0.058,0
CASE008728,atypical,1.404,1
CASE008729,routine,-0.48,1
CASE008730,routine,-0.473,1
CASE008731,routine,-0.39,1
CASE008732,routine,-0.036,1
CASE008733,routine,-0.469,1
CASE008734,routine,-1.251,1
CASE008735,ambiguous,0.252,0
CASE008736,atypical,1.329,0
CASE008737,routine,-0.162,1
CASE008738,routine,-1.016,1
CASE008739,routine,-0.496,1
CASE008740,routine,-0.484,1
CASE008741,routine,0.216,1
CASE008742,ambiguous,0.518,1
CASE008743,routine,-0.684,1
CASE008744,routine,-1.021,1
CASE008745,routine,-0.018,1
CASE008746,atypical,2.025,0
CASE008747,ambiguous,0.339,1
CASE008748,ambiguous,0.84,1
CASE008749,routine,-0.696,1
CASE008750,ambiguous,0.838,1
CASE008751,routine,0.072,1
CASE008752,routine,-0.841,1
CASE008753,routine,-0.159,1
CASE008754,atypical,1.384,1
CASE008755,routine,0.007,1
CASE008756,routine,0.045,1
CASE008757,routine,-0.368,1
CASE008758,routine,-0.101,1
CASE008759,routine,-0.519,1
CASE008760,routine,-0.894,1
CASE008761,routine,0.109,1
CASE008762,routine,-0.697,1
CASE008763,routine,-0.44,1
CASE008764,routine,-0.722,1
CASE008765,ambiguous,0.141,1
CASE008766,routine,0.1,1
CASE008767,routine,-0.858,1
CASE008768,routine,-0.083,1
CASE008769,atypical,1.146,1
CASE008770,ambiguous,1.22,0
CASE008771,routine,-0.523,1
CASE008772,routine,-0.161,1
CASE008773,ambiguous,0.496,1
CASE008774,ambiguous,0.913,0
CASE008775,atypical,1.966,1
CASE008776,routine,-0.695,1
CASE008777,routine,-0.615,1
CASE008778,routine,0.011,1
CASE008779,routine,-0.353,1
CASE008780,routine,-0.346,1
CASE008781,routine,-0.081,1
CASE008782,atypical,1.483,1
CASE008783,atypical,1.504,0
CASE008784,routine,-0.746,1
CASE008785,routine,-0.657,1
CASE008786,ambiguous,0.744,0
CASE008787,atypical,1.353,1
CASE008788,ambiguous,-0.123,1
CASE008789,routine,-0.183,1
CASE008790,atypical,1.459,0
CASE008791,routine,-0.342,1
CASE008792,routine,-0.823,1
CASE008793,ambiguous,0.897,1
CASE008794,ambiguous,-0.162,1
CASE008795,routine,-0.464,0
CASE008796,atypical,1.165,0
CASE008797,ambiguous,0.498,1
CASE008798,routine,-0.211,1
CASE008799,routine,-0.575,1
CASE008800,routine,-0.589,1
CASE008801,atypical,1.212,0
CASE008802,routine,-0.699,1
CASE008803,routine,0.118,1
CASE008804,routine,-0.512,1
CASE008805,routine,-0.256,0
CASE008806,atypical,1.547,0
CASE008807,routine,0.253,1
CASE008808,ambiguous,1.159,1
CASE008809,routine,-0.75,1
CASE008810,routine,-0.167,1
CASE008811,routine,-0.458,1
CASE008812,routine,-0.893,1
CASE008813,ambiguous,0.316,1
CASE008814,routine,-0.429,1
CASE008815,routine,-0.377,1
CASE008816,ambiguous,1.477,1
CASE008817,routine,-0.268,1
CASE008818,routine,-0.191,1
CASE008819,ambiguous,0.835,0
CASE008820,atypical,1.269,0
CASE008821,ambiguous,0.893,1
CASE008822,routine,-0.244,1
CASE008823,routine,-0.943,1
CASE008824,routine,-0.941,1
CASE008825,routine,-0.464,1
CASE008826,ambiguous,0.142,1
CASE008827,routine,-0.764,1
CASE008828,routine,-0.489,1
CASE008829,routine,-0.202,1
CASE008830,routine,0.286,1
CASE008831,routine,-0.745,1
CASE008832,routine,-0.261,1
CASE008833,routine,-1.188,1
CASE008834,routine,-0.034,1
CASE008835,routine,0.212,1
CASE008836,routine,-0.399,1
CASE008837,routine,-0.116,1
CASE008838,routine,-0.571,1
CASE008839,routine,-0.458,1
CASE008840,routine,-0.897,1
CASE008841,routine,-0.48,1
CASE008842,ambiguous,1.496,0
CASE008843,routine,-0.178,1
CASE008844,ambiguous,0.744,1
CASE008845,routine,-0.11,1
CASE008846,routine,-0.147,1
CASE008847,ambiguous,0.421,1
CASE008848,ambiguous,0.6,1
CASE008849,routine,0.168,1
CASE008850,routine,-0.08,1
CASE008851,routine,-0.671,1
CASE008852,ambiguous,0.574,1
CASE008853,ambiguous,0.289,1
CASE008854,ambiguous,0.948,1
CASE008855,routine,-0.443,1
CASE008856,routine,-1.055,1
CASE008857,routine,-0.222,1
CASE008858,routine,-0.466,1
CASE008859,routine,-0.677,1
CASE008860,routine,-0.056,1
CASE008861,atypical,1.414,0
CASE008862,routine,-0.488,1
CASE008863,routine,-0.155,1
CASE008864,routine,-0.972,1
CASE008865,routine,-1.015,1
CASE008866,ambiguous,0.283,1
CASE008867,routine,-0.165,1
CASE008868,atypical,1.071,1
CASE008869,routine,-1.038,1
CASE008870,atypical,1.754,0
CASE008871,ambiguous,0.864,1
CASE008872,routine,-0.401,1
CASE008873,routine,-1.059,1
CASE008874,routine,-0.27,1
CASE008875,routine,-0.824,1
CASE008876,ambiguous,0.539,0
CASE008877,routine,-0.54,1
CASE008878,ambiguous,0.616,1
CASE008879,routine,-0.121,1
CASE008880,routine,-0.503,1
CASE008881,atypical,1.264,0
CASE008882,ambiguous,0.933,1
CASE008883,routine,-0.683,1
CASE008884,routine,-0.711,1
CASE008885,routine,-0.513,1
CASE008886,ambiguous,0.884,1
CASE008887,routine,-0.173,1
CASE008888,routine,-0.314,1
CASE008889,routine,-0.381,1
CASE008890,ambiguous,0.041,1
CASE008891,routine,-0.632,1
CASE008892,routine,-0.266,1
CASE008893,routine,-0.749,1
CASE008894,routine,-0.802,1
CASE008895,ambiguous,0.675,1
CASE008896,routine,-0.081,1
CASE008897,ambiguous,0.658,1
CASE008898,atypical,0.978,1
CASE008899,routine,-0.393,1
CASE008900,routine,-0.425,1
CASE008901,routine,-0.227,1
CASE008902,routine,-0.109,0
CASE008903,routine,-0.242,1
CASE008904,routine,-0.965,1
CASE008905,routine,0.053,1
CASE008906,routine,-0.487,1
CASE008907,routine,-0.401,1
CASE008908,routine,-0.362,1
CASE008909,ambiguous,0.551,1
CASE008910,routine,-0.307,1
CASE008911,routine,-0.207,0
CASE008912,routine,-0.338,1
CASE008913,ambiguous,0.556,1
CASE008914,routine,-0.421,1
CASE008915,routine,-0.201,1
CASE008916,ambiguous,0.712,1
CASE008917,routine,-0.948,1
CASE008918,routine,-0.037,1
CASE008919,routine,-0.534,1
CASE008920,routine,-0.23,0
CASE008921,routine,-0.475,1
CASE008922,routine,-0.5,1
CASE008923,ambiguous,1.07,1
CASE008924,ambiguous,1.098,1
CASE008925,routine,-0.335,1
CASE008926,routine,-0.598,1
CASE008927,routine,-1.145,1
CASE008928,routine,-0.946,1
CASE008929,routine,-0.277,1
CASE008930,routine,-0.357,1
CASE008931,routine,-0.501,1
CASE008932,routine,-0.717,1
CASE008933,ambiguous,0.318,1
CASE008934,routine,-0.148,1
CASE008935,ambiguous,0.153,0
CASE008936,routine,-0.778,1
CASE008937,routine,-0.095,1
CASE008938,routine,-0.55,1
CASE008939,routine,0.183,1
CASE008940,routine,-0.972,1
CASE008941,routine,-0.44,1
CASE008942,ambiguous,1.076,1
CASE008943,routine,-1.02,1
